"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","description","treatment"
"LOC115137856",837.722347044337,4.31303929747854,0.780682873109853,5.52470080494726,3.30047561922542e-08,0.000149609206706751,"equistatin-like","gonad"
"LOC115137857",204.858418933411,3.7209417973623,0.854257329157535,4.35576221632406,1.32604667337212e-05,0.0022292317964578,"ladderlectin-like","gonad"
"LOC115143451",21.0548421149284,3.022204955944,0.587918020715595,5.14052104112316,2.73977639164201e-07,0.000336519162165294,"centromere protein S-like","gonad"
"LOC115139209",32.6667886820096,2.94860996879643,0.669614384674458,4.40344478297004,1.06545411104161e-05,0.00218255135747829,"sterile alpha motif domain-containing protein 15-like, transcript variant X2","gonad"
"LOC115125542",81.0734740618532,2.79396949300533,0.644568574380654,4.3346349854086,1.46002177411193e-05,0.00238108734322629,"calcyphosin-like protein, transcript variant X1","gonad"
"LOC115138857",272.587001677974,2.76752844491151,0.795386728413399,3.4794752615901,0.000502396750924322,0.0135939126822384,"ladderlectin-like","gonad"
"LOCNA.995",48.4239423871623,2.53396954622129,0.592456685587692,4.27705452206637,1.89382431834766e-05,0.00254698328325334,NA,"gonad"
"LOC115112426",197.66563369121,2.48405364114775,0.452829658572035,5.48562487930015,4.12010373173471e-08,0.000149609206706751,"serum amyloid A-5 protein-like","gonad"
"LOCNA.203",34.9954783027648,2.47830826348391,0.549428102888775,4.51070531422309,6.46124290920556e-06,0.00189210203644413,NA,"gonad"
"LOC115112427",278.917581430526,2.43181259827421,0.448540465029446,5.42161251407845,5.90638026053084e-08,0.000164779347365069,"serum amyloid A-5 protein-like","gonad"
"LOC115105764",862.14369134894,2.42604849159647,0.590566637469729,4.10800126128158,3.99097925409618e-05,0.00389177933152694,"neurofibromin-like","gonad"
"LOC115138859",889.329682897913,2.42451337007598,0.740793350437767,3.27286060092633,0.0010646497075667,0.0214299114086263,"ladderlectin-like","gonad"
"LOC115141814",21.6863473392673,2.40936654639998,0.59188663526559,4.07065543103344,4.68810490678295e-05,0.00409219864640505,"14-3-3 protein gamma-2-like","gonad"
"LOC115124398",61.8896860679976,2.37457953153752,0.575061328952322,4.12926310983849,3.63927749210133e-05,0.00373081213317362,"thymosin beta-a-like, transcript variant X1","gonad"
"LOCNA.1473",24.7839021223326,2.3739225903824,0.589141496602495,4.02946084102462,5.59049272308349e-05,0.0044941026366772,NA,"gonad"
"LOCNA.2298",33.124463673213,2.36277498933827,0.546237620185139,4.32554423574385,1.52155729533849e-05,0.00239803489467934,NA,"gonad"
"LOC115131920",17.4986242156709,2.3038158426738,0.544219898484488,4.23324440927157,2.30343936802527e-05,0.00291270327607598,"testis-expressed protein 49-like, transcript variant X1","gonad"
"LOCNA.4163",41.7679479335699,2.30253174406791,0.530433815552108,4.34084644786701,1.41934888076724e-05,0.00234269984356454,NA,"gonad"
"LOCNA.1262",30.5465850858778,2.29797815900636,0.541632906062769,4.24268565163589,2.20860699098305e-05,0.00284393393817647,NA,"gonad"
"LOCNA.4556",70.0588804692576,2.27557430419603,0.447503149325056,5.08504645750126,3.67536094607932e-07,0.000392528549041271,NA,"gonad"
"LOC115137859",2236.16054301084,2.14522672384076,0.602444333051792,3.56087128079323,0.000369626258934647,0.0114913259541395,"saxiphilin-like","gonad"
"LOCNA.498",18.5988671979385,2.04001537641427,0.441184765097927,4.6239479188758,3.76504436891335e-06,0.00155359421731797,NA,"gonad"
"LOCNA.4460",73.4510475607318,2.01455438972359,0.496627648339151,4.05646845571481,4.98202874454793e-05,0.00427674417340709,NA,"gonad"
"LOCNA.1597",92.7277085063442,2.00849406532982,0.409176524928184,4.90862486718255,9.17172249137134e-07,0.000756917243424264,NA,"gonad"
"LOC115106396",56.69976475906,1.9751788093338,0.621886275497235,3.17610934210524,0.00149264679133204,0.0257987546758957,"arginase-1-like, transcript variant X1","gonad"
"LOCNA.1650",17.8558342358352,1.95369176310183,0.501464826729181,3.89596968514191,9.78066227474917e-05,0.00597904728149313,NA,"gonad"
"LOC115129963",845.093876435257,1.88470912922156,0.606277689420336,3.10865658115102,0.00187940029845039,0.0299056895869108,"protein S100-B-like","gonad"
"LOC115141572",126.135492726733,1.88033031349799,0.38799535128683,4.84627021241791,1.25804144710292e-06,0.000913640020544028,"cytochrome c oxidase subunit 7A2, mitochondrial-like","gonad"
"LOCNA.2158",72.8560011859613,1.86125420194933,0.310060314937812,6.00287786691642,1.93850436997996e-09,1.75977426706781e-05,NA,"gonad"
"LOC115114450",25.8583991510283,1.83860599409204,0.417730778889158,4.40141375021807,1.07547818861683e-05,0.00218255135747829,"protein canopy-1-like, transcript variant X5","gonad"
"LOC115135792",171.433189570947,1.8373203361703,0.481245805944527,3.81784176293078,0.000134624222963946,0.00712122164249031,"ependymin-1","gonad"
"LOCNA.4116",44.6951816537097,1.83138385130883,0.496514455301809,3.688480429428,0.000225597374749907,0.00900207898013037,NA,"gonad"
"LOC115103583",27.3753499464769,1.77605338451743,0.446702585583429,3.97591919508988,7.01079295142642e-05,0.00499793861106764,"dynein light chain 4, axonemal-like, transcript variant X3","gonad"
"LOC115138524",28.1157931786009,1.7719786774288,0.470278958931192,3.76793102003967,0.000164606170133613,0.00760455375304293,"protein FAM161B-like, transcript variant X1","gonad"
"LOC115139472",348.294552828116,1.77188680637417,0.343430862566511,5.15936975824651,2.47782522198442e-07,0.000336519162165294,"enoyl-[acyl-carrier-protein] reductase, mitochondrial-like, transcript variant X7","gonad"
"LOC115102671",26.8809340606571,1.73352030893018,0.476486644885101,3.63812989836934,0.000274624913075843,0.00989695537396061,"rho-related GTP-binding protein Rho6-like","gonad"
"LOC115142066",427.480512982859,1.7119473357093,0.465513441876285,3.67754651468102,0.000235488142766525,0.00911320380110884,"hepcidin-like","gonad"
